nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
420.1281,54.3204,343.9724,51.8499,471.318,70.5814,298.4565,65.5069,538.7892,266.1127,233.9538,262.0607,377.9868,90.9388
420.5536,51.2016,343.7515,47.6176,472.6707,72.1902,298.5034,64.474,540.9492,267.7943,234.1573,263.3567,378.3834,95.7983
419.498,54.6438,342.5228,51.9918,470.5529,71.0234,296.2508,66.0364,546.2162,265.539,232.0413,260.483,376.4368,90.5059
418.3623,51.0411,341.9724,47.7608,469.6113,71.626,296.4676,64.5144,538.0826,267.9092,230.4966,263.0428,375.6321,90.5358
418.4119,49.4008,340.747,45.327,471.1982,68.1639,294.8994,59.8904,540.8848,270.7757,230.0923,263.5439,376.3237,90.3053
417.7806,50.5637,341.5789,47.6889,468.8198,70.6029,296.2007,64.7542,538.9387,268.2292,230.2653,263.5953,376.5358,89.4765
419.1559,49.178,341.3412,45.6043,471.0146,69.9101,295.1517,62.4118,539.6631,268.0574,230.7051,263.117,376.2888,89.2496
418.9236,49.1681,341.2379,45.4428,470.9328,69.7311,295.1555,61.971,539.1971,268.6286,229.4979,262.4721,376.6653,89.6418
419.3629,49.6109,341.5843,45.9185,471.6486,69.9142,295.461,62.174,543.5056,267.1732,230.3377,262.7611,376.0488,89.2613
418.5096,49.0197,341.045,45.7868,470.1446,69.4153,294.7928,62.4403,538.8432,267.2196,229.1261,262.8192,375.4204,90.2542
417.54,48.7679,339.4304,46.2428,469.9627,67.0655,292.9406,62.2728,539.3104,265.2628,230.9376,262.6144,375.9535,90.198
417.9112,49.3526,339.5053,47.1038,468.6935,69.1671,291.8779,64.406,535.5536,263.684,229.0947,262.3513,375.5226,90.2798
417.4605,49.9614,340.1777,46.767,468.1115,69.1039,293.6974,62.4164,534.7213,267.4654,228.9079,263.2,375.4227,90.3204
417.4998,49.5276,339.5607,47.1277,469.5267,69.1261,293.2697,64.2828,539.0688,266.9185,229.3874,263.6042,374.94,90.7126
416.7526,50.1957,339.6303,47.2541,467.3066,69.3331,293.3333,63.2037,534.4645,266.0402,229.0792,261.9998,376.4854,95.3908
416.7514,53.6377,340.2831,51.2825,467.3442,68.4525,294.175,64.4572,545.7075,265.3853,228.8405,261.1417,375.1192,95.5127
415.8449,53.9651,339.9502,51.3844,467.0082,69.4096,294.8582,64.4758,543.9583,267.778,229.0639,262.1488,375.2757,89.2706
417.0614,48.375,339.0985,45.6536,467.8016,68.0155,292.0133,62.6011,536.4821,267.5121,227.785,264.6441,374.4606,90.2253
416.7815,49.2924,339.188,46.7705,469.2163,68.7439,293.4648,63.2596,538.2049,266.1829,229.2867,262.9451,372.9709,93.018
415.057,50.4825,336.8462,48.7433,469.1495,66.5992,291.4789,63.4666,539.8494,266.2299,230.9055,263.6273,374.1271,92.1754
415.5053,49.8751,337.8921,48.148,467.9127,65.9693,292.0646,63.0599,538.8251,268.1263,230.5374,264.4382,373.3266,97.1265
413.3841,53.4298,336.6342,52.5816,465.1655,65.7554,291.338,64.9346,542.4637,266.0095,230.5371,262.5064,373.316,90.4682
415.3734,48.8503,337.8187,46.2337,467.2957,66.8969,291.8618,61.5345,536.0824,264.5087,228.3132,261.9398,374.2194,92.8119
415.0764,50.5036,337.5766,49.6146,466.5422,67.2982,291.347,65.9019,536.8039,266.421,229.613,265.4156,374.0354,90.7912
415.6965,49.4766,337.9697,47.2468,467.5715,67.4586,291.3613,63.3271,537.5346,265.3553,230.1533,262.5463,372.7392,93.1887
413.5378,51.5535,337.2123,49.8806,465.9529,66.9894,292.5461,64.0765,537.6262,267.4506,228.6124,264.2655,372.9774,91.9819
414.6121,50.7482,337.0322,48.5974,466.062,68.7073,290.7735,64.6638,537.8796,266.7182,228.3726,262.5862,372.499,92.4576
414.2962,50.5743,336.6292,48.9582,467.2005,67.63,291.168,64.5527,537.4411,264.1282,229.8824,262.4871,372.118,92.3611
413.9907,51.0457,336.8431,48.8545,466.9902,68.8204,291.8741,64.4182,536.2067,267.5816,228.1463,263.592,373.4834,91.6847
414.7078,49.9419,337.1748,48.5236,467.271,67.0957,291.5047,64.7861,539.7082,265.6982,228.9606,263.9489,371.8691,92.6131
414.2985,50.2991,336.0771,48.6466,468.4767,67.724,290.8533,64.4061,538.6897,265.091,229.6424,263.3729,372.6323,92.0598
414.1896,50.3083,336.9624,49.1899,467.8885,68.094,292.229,66.1597,539.1166,265.7155,230.8517,264.7737,374.1311,90.5276
416.3275,49.0043,338.076,46.7068,468.672,67.1898,291.7148,62.6657,538.0625,267.2813,230.1085,262.8204,372.4129,96.2119
412.8071,52.3097,335.038,51.5238,466.2261,64.518,289.5281,64.3313,549.0372,264.7506,228.4948,263.2343,372.5384,98.2099
412.2796,54.9407,335.9928,54.3024,464.7429,66.896,291.3703,66.8183,546.9716,267.45,228.7567,263.5768,373.3214,97.4937
413.7219,53.3002,336.2297,52.4564,466.5329,65.6667,290.9341,64.9717,547.3019,266.2498,227.7502,263.4796,374.4162,93.3266
415.951,51.1572,338.3491,50.0492,468.8802,67.6755,292.9281,65.7238,539.3597,264.5243,232.0795,262.9739,374.1549,92.254
415.5254,50.3322,337.7799,48.8988,468.1143,67.9484,291.8316,65.6384,540.9002,267.4442,230.4061,264.8494,374.7909,92.1047
416.625,50.2994,338.4877,48.3495,468.3544,67.7265,291.8271,63.8534,537.8759,265.6625,229.2755,262.9457,374.6945,92.5174
416.0527,49.8571,337.7112,48.3513,469.3091,65.9785,291.4756,64.051,546.2693,268.0414,231.2383,265.3966,373.9824,91.4409
415.6131,49.8653,338.2834,48.0357,467.9747,67.6696,292.8078,64.13,540.0105,265.8066,230.4169,262.4837,373.6375,91.9348
414.4329,50.2414,337.3882,48.6633,466.2148,67.1058,291.5598,64.9136,539.6348,267.8402,229.3658,265.7785,373.4113,91.2818
414.8064,49.2602,336.9632,48.0367,467.8357,66.612,291.3572,64.872,539.4728,266.7682,231.428,264.381,373.0986,92.1396
414.4452,50.3197,336.9339,49.0028,466.6613,67.6952,291.4008,65.3148,537.1883,266.4988,228.1794,264.5801,373.7596,92.9175
414.5001,50.8797,337.5915,49.7881,465.9845,66.6663,292.058,64.9216,536.7627,264.3308,230.61,263.2728,373.109,91.6741
414.3083,49.559,336.8748,48.4806,466.7178,66.6944,291.2946,64.7229,534.5687,265.8084,230.2601,264.617,371.5245,94.05
413.2014,51.2501,335.3691,50.3715,467.2576,67.1933,290.2591,65.9743,538.7232,266.4243,230.4193,264.6193,371.9846,93.3956
412.6804,50.7293,335.3159,50.5282,465.2036,66.621,289.9924,66.8909,538.3339,264.8862,229.1494,265.1707,372.6529,92.5277
412.9309,50.4938,336.1826,49.86,464.6123,66.279,290.5992,65.7921,536.7534,266.251,228.3203,265.0528,371.4242,94.7887
412.2281,52.0382,335.2449,51.1322,464.946,66.4409,290.2686,65.4024,537.6962,265.604,229.3848,263.3616,371.0333,92.5121
413.1064,50.0353,335.353,48.3433,466.456,66.3967,290.286,62.7843,535.2164,264.6935,228.3145,263.6957,371.5841,92.2954
412.1941,49.9258,334.9091,49.3137,465.1032,65.7721,289.6215,65.5027,537.9326,266.2543,229.0586,265.4449,371.5281,92.2968
412.1665,50.4376,335.3775,49.4347,463.9975,66.9346,290.159,65.4003,534.2168,265.9868,228.154,264.784,371.9412,91.2261
413.3233,49.2984,336.3843,47.2867,465.7406,65.9902,291.0413,62.3752,536.7313,266.9969,227.977,265.1223,373.5654,92.326
414.7585,50.8347,337.8669,49.1094,466.1843,67.9498,292.1417,64.6584,534.862,265.2851,229.1312,264.0363,373.5272,91.1616
415.4015,49.8103,337.9978,48.0034,468.4711,68.1823,293.0489,64.5458,538.0023,267.5876,229.0623,264.5753,373.8263,91.9563
416.0672,50.6676,338.3081,48.2679,468.4067,69.2823,292.1393,64.3711,536.1025,268.0032,230.4704,263.9315,374.0955,90.6692
415.9757,49.6302,338.3925,47.4432,468.3634,68.442,292.7462,64.1369,537.594,267.9073,229.4669,263.7084,374.5033,91.4795
415.8,50.7941,339.1542,48.9689,467.3963,69.5375,293.5865,66.0518,537.7098,266.7435,230.3173,264.3279,374.0701,91.4341
416.394,49.7637,338.1851,47.3436,469.1572,68.2843,292.1382,63.3541,539.2681,267.742,227.6774,263.5736,373.2691,90.3055
415.3593,49.7354,337.8235,47.4934,467.7521,69.9381,292.1314,65.2905,537.2943,267.171,227.8523,264.9242,373.9987,91.1359
415.6727,50.097,338.1566,47.7159,467.2153,68.2434,291.9738,63.5921,536.0318,266.1159,229.1113,262.1357,373.8329,91.8994
415.9938,50.4414,337.6783,48.2789,468.603,68.9007,291.2604,64.7583,538.7789,268.6833,227.9551,264.8411,374.0189,91.5764
415.2383,50.9703,338.1927,49.3555,466.3828,69.6276,292.3973,66.3495,532.9898,263.6495,230.2057,261.5238,373.9673,92.8968
415.582,51.2816,337.8448,49.5494,467.8372,69.0716,291.8194,65.8659,538.6364,267.4403,228.6684,265.7205,374.4457,92.4125
415.6297,50.5699,338.0517,49.1258,466.9093,68.2711,291.5771,65.798,535.3961,267.0587,229.3046,264.0617,373.7376,91.7968
415.9528,50.512,337.5768,47.863,468.1326,68.6249,290.9478,63.533,537.7892,266.0932,228.6782,262.6296,374.313,92.5966
415.4941,51.209,338.2201,49.2469,466.3208,68.1324,291.5904,64.4247,534.7415,266.2805,227.8606,264.5229,374.2975,90.7313
416.2918,50.5288,338.9259,47.9347,468.5412,70.6129,293.257,65.3211,537.828,266.2654,229.5278,263.4558,375.39,91.5987
417.0815,50.1218,338.9,48.169,467.9308,68.33,291.3877,64.6268,535.713,264.6382,229.6653,263.2561,374.7604,89.8937
417.0703,49.627,339.6997,46.4935,468.2584,69.9381,293.2618,63.3258,536.3365,267.647,230.276,262.1681,374.4314,89.939
417.7937,48.6232,339.21,44.7441,469.9382,68.1734,292.4482,59.494,534.5392,266.0447,228.0947,262.1932,373.902,91.3084
416.3633,49.6811,338.9399,47.1798,469.0258,67.5647,293.4981,61.8951,536.2839,264.8984,230.0009,262.5681,373.8193,90.4828
416.4597,49.6596,338.9935,46.3662,468.6646,68.6457,293.3495,61.3337,536.4368,264.762,229.2598,261.241,375.5576,88.9561
417.1924,48.8241,339.5771,46.6669,467.6751,69.672,292.5131,65.3082,535.7852,264.4408,230.8717,262.5064,375.1172,90.0242
417.0049,49.4124,339.5371,46.7417,467.8579,68.9363,292.8452,63.2618,536.8068,266.1089,228.0818,263.3737,374.5589,89.8843
416.8679,49.5128,339.6633,46.4351,468.2545,69.5035,293.8367,62.7025,535.1735,266.6614,229.2139,262.9099,373.5753,89.8513
415.563,49.6208,338.5684,46.8864,467.4749,70.0687,293.2703,64.2454,535.5875,267.1046,228.7087,263.6166,374.8093,88.8994
416.7754,49.407,340.1051,46.7316,467.7777,70.7019,294.5679,64.748,534.9484,264.8199,229.8484,261.3506,374.5289,89.2881
417.2181,49.471,339.3304,46.0747,468.5811,70.8327,292.9397,63.4471,535.2928,266.7232,229.5717,262.8685,373.8854,89.1288
