nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
319.9675,266.5138,373.9348,203.1091,268.1295,202.1589,443.4176,183.9792,204.0511,182.7287,539.2231,354.3107,124.9568,360.0085
321.2405,272.8667,375.2464,210.046,268.676,208.9139,442.9495,186.5267,202.5683,184.663,533.035,346.5541,127.5363,352.4702
321.9734,274.0214,375.5121,210.6318,269.4548,210.4164,444.4822,184.7138,204.5696,185.1051,537.7997,348.6343,126.0675,354.7345
320.5955,274.0973,375.8566,211.6574,268.6954,209.5994,444.6565,190.5947,202.6717,186.3189,532.6027,348.6768,123.4556,354.4486
318.3279,273.6981,373.0605,212.5292,267.4698,210.2702,441.8805,191.7114,203.2382,186.928,530.5801,346.5638,127.3662,352.1797
317.2801,274.6609,371.2156,211.6348,265.1306,210.258,439.226,189.0219,199.5255,186.7259,531.3595,350.9942,124.5253,359.3565
316.7451,270.5314,371.2883,206.9815,265.7986,205.621,442.2289,186.0907,203.2746,183.5382,535.3459,352.341,124.8191,359.6684
314.745,269.6702,368.6906,207.5153,263.9001,206.7139,439.5786,190.1596,202.0389,188.8588,532.9902,351.4167,128.1542,359.0169
318.0441,262.1946,371.334,200.4008,267.4425,199.5036,440.6065,187.2297,205.3212,185.941,534.7841,355.0123,129.5799,362.3793
317.3812,264.0656,371.1831,202.6458,267.88,201.3433,442.0161,187.18,207.2975,184.5835,535.5999,353.4482,129.8033,359.569
317.4797,263.7047,371.3704,201.5613,267.1911,200.0744,440.8484,186.5508,204.9417,183.6779,534.2653,352.9875,127.8206,361.7311
316.0511,263.9308,369.9249,202.2737,266.0781,201.1113,440.3951,187.5075,204.7287,185.1664,535.6012,353.3886,126.3125,360.5585
313.0487,271.7255,367.405,209.7142,263.0838,207.9435,437.9818,191.2262,201.7435,187.6814,529.9718,352.1369,128.8676,360.008
313.268,265.9315,368.3293,204.3622,264.8284,201.5798,440.5875,189.8651,204.9131,183.9124,535.6715,357.5451,127.3327,362.5458
314.2688,264.7065,368.6399,202.9309,265.4188,200.3758,440.0019,188.3861,205.1745,183.2832,537.3369,359.6342,126.8923,364.7399
348.4781,225.9561,398.6166,176.1949,309.5148,170.023,469.8285,165.9443,261.8714,153.5622,567.6985,319.7569,186.5222,311.5874
350.539,224.4836,399.1584,176.3123,311.6214,171.0049,468.4979,167.0227,264.3436,156.3969,564.6447,316.6856,191.1624,307.5173
347.519,228.4438,398.1927,178.5522,306.8583,172.7426,468.1024,167.5082,256.73,155.7731,567.2537,314.7684,183.6182,308.8376
347.3767,229.9726,398.5709,180.2064,306.7277,173.469,469.064,168.4229,257.4218,155.03,566.2259,311.8585,191.6878,307.7563
347.3039,225.5855,397.9114,175.9127,306.3172,169.5484,467.1418,167.7453,255.8165,155.184,568.2036,323.435,183.8775,311.5264
346.0734,226.247,396.9576,176.0453,305.7376,170.4189,468.0393,166.8766,256.7852,155.6098,569.2872,320.8558,183.0525,312.3866
346.4895,225.7841,397.9056,175.9892,305.6543,169.4305,467.0166,167.1806,254.7752,153.7407,561.3871,315.2865,183.4049,310.7411
346.8542,232.2928,398.2313,182.3507,306.7201,176.0664,468.8975,172.9838,256.7724,159.6413,568.9404,324.1213,176.8733,315.9297
345.55,232.6645,397.5566,182.7033,306.0762,175.4366,468.9703,171.7894,256.5616,156.3951,567.157,324.8465,175.0769,314.1912
346.9052,231.2653,398.6015,181.0827,306.1245,174.8569,469.3289,171.4407,255.5092,158.7426,568.1704,323.0029,179.2473,310.1606
346.4618,231.1953,398.8654,182.4438,307.6693,173.6617,469.2139,172.3334,257.876,153.4685,564.1324,321.8145,179.3217,310.4433
349.4949,231.7439,400.2164,181.913,309.0314,176.1505,470.3431,171.3024,259.2995,159.6375,568.5776,322.5537,183.7424,310.5257
354.7689,234.8565,406.3733,184.1479,314.2235,176.6617,474.8764,172.3206,262.0451,156.3252,569.5761,324.1888,180.8358,319.1583
