nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
315.0045, 253.5763, 361.2, 199.5611, 271.2085, 198.9395, 429.2858, 150.8723, 220.5306, 151.7845, 525.012, 299.7477, 147.851, 297.6769
360.0273, 231.0731, 400.9752, 182.3179, 320.826, 182.1903, 460.3056, 145.5802, 272.4786, 146.7635, 562.0063, 288.5128, 182.7289, 310.2783
356.5195, 237.0574, 400.4478, 185.7673, 316.9044, 184.3069, 464.448, 143.3915, 268.8533, 141.6364, 561.2392, 289.1689, 181.0631, 308.3293
352.5749, 240.3204, 396.5905, 193.867, 317.3122, 188.806, 458.9198, 156.5491, 272.0796, 145.9858, 555.064, 290.1193, 183.6523, 307.3062
352.9333, 241.394, 396.0374, 193.3379, 316.9358, 190.2429, 459.2435, 151.2554, 272.4362, 145.4233, 557.3409, 287.3928, 183.075, 308.608
349.0887, 244.0397, 392.9009, 196.9763, 311.7263, 192.773, 457.8801, 156.4148, 266.2183, 148.5645, 558.4703, 286.2975, 179.0693, 303.7426
344.2326, 250.1122, 391.7924, 204.501, 309.2428, 195.8455, 456.0487, 165.9773, 263.1797, 147.2798, 542.1098, 302.4136, 176.5738, 292.3787
364.9974, 232.5982, 411.499, 184.8278, 326.9563, 178.4769, 473.1383, 153.8891, 277.5148, 141.2811, 561.0059, 302.2319, 192.9256, 297.0549
363.2561, 232.2385, 409.8964, 184.8853, 326.2545, 178.3703, 473.1743, 155.0557, 278.5334, 141.5268, 561.3063, 301.4904, 193.6003, 297.4209
364.4637, 228.2463, 408.7936, 178.9277, 325.6867, 176.1923, 471.8931, 146.1332, 277.9795, 141.4592, 563.2108, 297.9419, 191.0898, 299.861
364.1135, 229.9974, 408.7668, 181.7176, 326.8892, 178.0511, 472.9188, 149.3036, 280.8859, 142.4318, 565.7765, 299.2362, 191.9591, 298.4639
361.344, 226.1112, 406.7516, 177.7061, 324.7678, 173.9413, 472.8192, 148.4535, 279.87, 141.4203, 565.4481, 298.507, 192.6335, 298.091
364.7556, 230.3486, 407.9913, 181.7207, 326.9624, 179.6558, 471.9749, 146.8172, 281.5026, 144.0403, 566.7938, 297.3242, 194.6438, 297.2366
